prepconfig,EN_ONLY,COM_STR,SPLIT,SPLIT_REPR,TABS_NEWLINES,vocabsize,n_tokens,>=2(vocab),>=2(-n_tokens),>=2(-n_tokens%),>=3(vocab),>=3(-n_tokens),>=3(-n_tokens%),>=4(vocab),>=4(-n_tokens),>=4(-n_tokens%),>=5(vocab),>=5(-n_tokens),>=5(-n_tokens%),>=10(vocab),>=10(-n_tokens),>=10(-n_tokens%),>=15(vocab),>=15(-n_tokens),>=15(-n_tokens%),>=20(vocab),>=20(-n_tokens),>=20(-n_tokens%),>=25(vocab),>=25(-n_tokens),>=25(-n_tokens%),>=30(vocab),>=30(-n_tokens),>=30(-n_tokens%),>=35(vocab),>=35(-n_tokens),>=35(-n_tokens%),>=40(vocab),>=40(-n_tokens),>=40(-n_tokens%),>=45(vocab),>=45(-n_tokens),>=45(-n_tokens%),>=50(vocab),>=50(-n_tokens),>=50(-n_tokens%),>=55(vocab),>=55(-n_tokens),>=55(-n_tokens%),>=60(vocab),>=60(-n_tokens),>=60(-n_tokens%),>=65(vocab),>=65(-n_tokens),>=65(-n_tokens%),>=70(vocab),>=70(-n_tokens),>=70(-n_tokens%),>=75(vocab),>=75(-n_tokens),>=75(-n_tokens%),>=80(vocab),>=80(-n_tokens),>=80(-n_tokens%),>=85(vocab),>=85(-n_tokens),>=85(-n_tokens%),>=90(vocab),>=90(-n_tokens),>=90(-n_tokens%),>=95(vocab),>=95(-n_tokens),>=95(-n_tokens%),>=100(vocab),>=100(-n_tokens),>=100(-n_tokens%),>=150(vocab),>=150(-n_tokens),>=150(-n_tokens%),>=200(vocab),>=200(-n_tokens),>=200(-n_tokens%),>=300(vocab),>=300(-n_tokens),>=300(-n_tokens%),>=400(vocab),>=400(-n_tokens),>=400(-n_tokens%),>=500(vocab),>=500(-n_tokens),>=500(-n_tokens%),>=1000(vocab),>=1000(-n_tokens),>=1000(-n_tokens%)
00210,multilang,strings+comments,camel+underscore+numbers,boundaries,tabs+newlines,784560,2703520049,497406,287154,0.011,373928,534110,0.020,315119,710537,0.026,269812,891765,0.033,179782,1486211,0.055,143165,1915950,0.071,121696,2278274,0.084,107778,2582358,0.096,97905,2847862,0.105,90043,3098660,0.115,83595,3336583,0.124,77949,3573268,0.132,73176,3797289,0.141,69001,4014064,0.149,65261,4227144,0.157,61941,4432885,0.164,59150,4619703,0.171,56395,4817824,0.178,54265,4981617,0.184,52286,5143774,0.190,50567,5293261,0.196,48974,5439747,0.201,47505,5582122,0.207,37830,6755579,0.250,32553,7663370,0.284,26784,9068457,0.336,23188,10315340,0.382,20793,11387394,0.422,14361,15924317,0.590
00211,multilang,strings+comments,camel+underscore+numbers,boundaries,NO_tabs+NO_newlines,784558,2235501175,497404,287154,0.013,373926,534110,0.024,315117,710537,0.032,269810,891765,0.040,179780,1486211,0.067,143163,1915950,0.086,121694,2278274,0.102,107776,2582358,0.116,97903,2847862,0.128,90041,3098660,0.139,83593,3336583,0.149,77947,3573268,0.160,73174,3797289,0.170,68999,4014064,0.180,65259,4227144,0.189,61939,4432885,0.199,59148,4619703,0.207,56393,4817824,0.216,54263,4981617,0.223,52284,5143774,0.230,50565,5293261,0.237,48972,5439747,0.244,47503,5582122,0.250,37828,6755579,0.303,32551,7663370,0.343,26782,9068457,0.406,23186,10315340,0.462,20791,11387394,0.510,14359,15924317,0.713
00400,multilang,strings+comments,camel+underscore+bpe_5k,separators,tabs+newlines,10719,2559150024,9584,1135,0.000,8695,2913,0.000,8407,3777,0.000,8160,4765,0.000,7585,8580,0.000,7294,12016,0.000,7108,15123,0.001,6982,17892,0.001,6887,20444,0.001,6811,22867,0.001,6750,25122,0.001,6672,28379,0.001,6605,31529,0.001,6556,34081,0.001,6497,37436,0.001,6473,38921,0.002,6439,41191,0.002,6404,43712,0.002,6371,46257,0.002,6335,49227,0.002,6308,51575,0.002,6278,54329,0.002,6258,56274,0.002,6071,79119,0.003,5944,101183,0.004,5770,143564,0.006,5665,179749,0.007,5583,216832,0.008,5329,396647,0.016
00401,multilang,strings+comments,camel+underscore+bpe_5k,separators,NO_tabs+NO_newlines,10717,2091131150,9582,1135,0.000,8693,2913,0.000,8405,3777,0.000,8158,4765,0.000,7583,8580,0.000,7292,12016,0.001,7106,15123,0.001,6980,17892,0.001,6885,20444,0.001,6809,22867,0.001,6748,25122,0.001,6670,28379,0.001,6603,31529,0.002,6554,34081,0.002,6495,37436,0.002,6471,38921,0.002,6437,41191,0.002,6402,43712,0.002,6369,46257,0.002,6333,49227,0.002,6306,51575,0.002,6276,54329,0.003,6256,56274,0.003,6069,79119,0.004,5942,101183,0.005,5768,143564,0.007,5663,179749,0.009,5581,216832,0.010,5327,396647,0.019
00410,multilang,strings+comments,camel+underscore+bpe_5k,boundaries,tabs+newlines,10719,2808254881,9584,1135,0.000,8695,2913,0.000,8407,3777,0.000,8161,4761,0.000,7586,8576,0.000,7295,12012,0.000,7109,15119,0.001,6983,17888,0.001,6888,20440,0.001,6812,22863,0.001,6750,25154,0.001,6672,28411,0.001,6605,31561,0.001,6556,34113,0.001,6497,37468,0.001,6473,38953,0.001,6439,41223,0.001,6404,43744,0.002,6371,46289,0.002,6335,49259,0.002,6308,51607,0.002,6278,54361,0.002,6258,56306,0.002,6071,79151,0.003,5944,101215,0.004,5770,143596,0.005,5665,179781,0.006,5583,216864,0.008,5329,396679,0.014
00411,multilang,strings+comments,camel+underscore+bpe_5k,boundaries,NO_tabs+NO_newlines,10717,2340236007,9582,1135,0.000,8693,2913,0.000,8405,3777,0.000,8159,4761,0.000,7584,8576,0.000,7293,12012,0.001,7107,15119,0.001,6981,17888,0.001,6886,20440,0.001,6810,22863,0.001,6748,25154,0.001,6670,28411,0.001,6603,31561,0.001,6554,34113,0.001,6495,37468,0.002,6471,38953,0.002,6437,41223,0.002,6402,43744,0.002,6369,46289,0.002,6333,49259,0.002,6306,51607,0.002,6276,54361,0.002,6256,56306,0.002,6069,79151,0.003,5942,101215,0.004,5768,143596,0.006,5663,179781,0.008,5581,216864,0.009,5327,396679,0.017
00500,multilang,strings+comments,camel+underscore+bpe_1k,separators,tabs+newlines,6721,3222349096,5586,1135,0.000,4697,2913,0.000,4409,3777,0.000,4163,4761,0.000,3589,8567,0.000,3300,11979,0.000,3115,15069,0.000,2991,17792,0.001,2897,20316,0.001,2824,22645,0.001,2763,24900,0.001,2687,28075,0.001,2621,31177,0.001,2573,33676,0.001,2515,36975,0.001,2491,38460,0.001,2460,40532,0.001,2426,42983,0.001,2394,45453,0.001,2360,48263,0.001,2334,50524,0.002,2305,53184,0.002,2287,54937,0.002,2108,76815,0.002,1984,98358,0.003,1823,137432,0.004,1729,169774,0.005,1653,204191,0.006,1443,352108,0.011
00501,multilang,strings+comments,camel+underscore+bpe_1k,separators,NO_tabs+NO_newlines,6719,2754330222,5584,1135,0.000,4695,2913,0.000,4407,3777,0.000,4161,4761,0.000,3587,8567,0.000,3298,11979,0.000,3113,15069,0.001,2989,17792,0.001,2895,20316,0.001,2822,22645,0.001,2761,24900,0.001,2685,28075,0.001,2619,31177,0.001,2571,33676,0.001,2513,36975,0.001,2489,38460,0.001,2458,40532,0.001,2424,42983,0.002,2392,45453,0.002,2358,48263,0.002,2332,50524,0.002,2303,53184,0.002,2285,54937,0.002,2106,76815,0.003,1982,98358,0.004,1821,137432,0.005,1727,169774,0.006,1651,204191,0.007,1441,352108,0.013
00510,multilang,strings+comments,camel+underscore+bpe_1k,boundaries,tabs+newlines,8709,3341212498,7196,1513,0.000,6039,3827,0.000,5527,5363,0.000,5128,6959,0.000,4182,13191,0.000,3698,18942,0.001,3402,23876,0.001,3215,27974,0.001,3073,31785,0.001,2972,35006,0.001,2889,38068,0.001,2796,41958,0.001,2718,45623,0.001,2661,48595,0.001,2590,52625,0.002,2558,54608,0.002,2520,57145,0.002,2484,59739,0.002,2450,62365,0.002,2413,65422,0.002,2383,68031,0.002,2352,70875,0.002,2332,72822,0.002,2142,96061,0.003,2010,119003,0.004,1841,159919,0.005,1741,194320,0.006,1663,229605,0.007,1444,383255,0.011
00511,multilang,strings+comments,camel+underscore+bpe_1k,boundaries,NO_tabs+NO_newlines,6720,2873087589,5584,1136,0.000,4695,2914,0.000,4407,3778,0.000,4162,4758,0.000,3588,8564,0.000,3299,11976,0.000,3114,15066,0.001,2990,17789,0.001,2896,20313,0.001,2823,22642,0.001,2761,24933,0.001,2685,28108,0.001,2619,31210,0.001,2571,33709,0.001,2513,37008,0.001,2489,38493,0.001,2458,40565,0.001,2424,43016,0.001,2392,45486,0.002,2358,48296,0.002,2332,50557,0.002,2303,53217,0.002,2285,54970,0.002,2106,76848,0.003,1982,98391,0.003,1821,137465,0.005,1727,169807,0.006,1651,204224,0.007,1441,352141,0.012
