-|------------  vocabsize  n_tokens    >=2      >=2              >=3      >=3              >=4      >=4              >=5      >=5              >=100   >=100
01510           5983       3130051200  4899     1084(0.000%)     4232     2418(0.000%)     4007     3093(0.000%)     3811     3877(0.000%)     2218    47935(0.002%)
01511           5981       2662789365  4897     1084(0.000%)     4230     2418(0.000%)     4005     3093(0.000%)     3810     3873(0.000%)     2216    47951(0.002%)
01600           14962      2326702796  13870    1092(0.000%)     13200    2432(0.000%)     12973    3113(0.000%)     12769    3929(0.000%)     11037   54540(0.002%)
01601           14960      1859440961  13868    1092(0.000%)     13198    2432(0.000%)     12971    3113(0.000%)     12767    3929(0.000%)     11035   54540(0.003%)
01610           14963      2567887202  13871    1092(0.000%)     13201    2432(0.000%)     12974    3113(0.000%)     12770    3929(0.000%)     11037   54564(0.002%)
01611           14962      2100506073  13869    1093(0.000%)     13199    2433(0.000%)     12972    3114(0.000%)     12768    3930(0.000%)     11035   54565(0.003%)
02000           5883193    1259272522  4722348  1160845(0.092%)  3610242  3385057(0.269%)  2934818  5411329(0.430%)  2387726  7599697(0.603%)  137122  43598681(3.462%)
02001           5883191    857968763   4722346  1160845(0.135%)  3610240  3385057(0.395%)  2934816  5411329(0.631%)  2387724  7599697(0.886%)  137120  43598681(5.082%)
02010           5883193    1259272522  4722348  1160845(0.092%)  3610242  3385057(0.269%)  2934818  5411329(0.430%)  2387726  7599697(0.603%)  137122  43598681(3.462%)
02011           5883191    857968763   4722346  1160845(0.135%)  3610240  3385057(0.395%)  2934816  5411329(0.631%)  2387724  7599697(0.886%)  137120  43598681(5.082%)
02100           696696     1660277077  450012   246684(0.015%)   338528   469652(0.028%)   286162   626750(0.038%)   249047   775210(0.047%)   35485   4393099(0.265%)
02101           696694     1258973318  450010   246684(0.020%)   338526   469652(0.037%)   286160   626750(0.050%)   249045   775210(0.062%)   35483   4393099(0.349%)
02110           696697     1886314137  450013   246684(0.013%)   338529   469652(0.025%)   286163   626750(0.033%)   249048   775210(0.041%)   35486   4393099(0.233%)
02111           696695     1485010378  450011   246684(0.017%)   338527   469652(0.032%)   286161   626750(0.042%)   249046   775210(0.052%)   35484   4393099(0.296%)
02200           341652     1703079621  260649   81003(0.005%)    220864   160573(0.009%)   186132   264769(0.016%)   164785   350157(0.021%)   32747   3090963(0.181%)
02201           341650     1301775862  260647   81003(0.006%)    220862   160573(0.012%)   186130   264769(0.020%)   164783   350157(0.027%)   32745   3090963(0.237%)
02210           341652     1921388975  260649   81003(0.004%)    220864   160573(0.008%)   186132   264769(0.014%)   164785   350157(0.018%)   32747   3090963(0.161%)
02211           341650     1520085216  260647   81003(0.005%)    220862   160573(0.011%)   186130   264769(0.017%)   164783   350157(0.023%)   32745   3090963(0.203%)
02400           5410       1767888327  5284     126(0.000%)      5227     240(0.000%)      5202     315(0.000%)      5184     387(0.000%)      5026    4163(0.000%)
02401           5408       1366584568  5282     126(0.000%)      5225     240(0.000%)      5200     315(0.000%)      5182     387(0.000%)      5024    4163(0.000%)
02410           5410       1974789150  5284     126(0.000%)      5227     240(0.000%)      5202     315(0.000%)      5184     387(0.000%)      5026    4163(0.000%)
02411           5723       1573482601  5440     283(0.000%)      5332     499(0.000%)      5285     640(0.000%)      5255     760(0.000%)      5029    5385(0.000%)
02500           1422       2158340625  1300     122(0.000%)      1248     226(0.000%)      1226     292(0.000%)      1211     352(0.000%)      1116    1533(0.000%)
02501           1420       1757036866  1298     122(0.000%)      1246     226(0.000%)      1224     292(0.000%)      1209     352(0.000%)      1114    1533(0.000%)
02510           1422       2244047045  1300     122(0.000%)      1248     226(0.000%)      1226     292(0.000%)      1211     352(0.000%)      1116    1533(0.000%)
02511           1420       1842743286  1298     122(0.000%)      1246     226(0.000%)      1224     292(0.000%)      1209     352(0.000%)      1114    1533(0.000%)
02600           10335      1716278911  10200    135(0.000%)      10139    257(0.000%)      10101    371(0.000%)      10079    459(0.000%)      9704    13314(0.001%)
02601           10333      1314975152  10198    135(0.000%)      10137    257(0.000%)      10099    371(0.000%)      10077    459(0.000%)      9702    13314(0.001%)
02610           10335      1934207992  10200    135(0.000%)      10139    257(0.000%)      10101    371(0.000%)      10079    459(0.000%)      9704    13314(0.001%)
02611           10333      1532904233  10198    135(0.000%)      10137    257(0.000%)      10099    371(0.000%)      10077    459(0.000%)      9702    13314(0.001%)
10100           1130397    2365695553  693548   436849(0.018%)   496911   830123(0.035%)   417927   1067075(0.045%)  356481   1312859(0.055%)  52028   6821548(0.288%)
10101           1130395    1897706879  693546   436849(0.023%)   496909   830123(0.044%)   417925   1067075(0.056%)  356479   1312859(0.069%)  52026   6821548(0.359%)
