prepconfig,EN_ONLY,COM_STR,SPLIT,TABS_NEWLINES,MARK_LOGS,CAPS,vocabsize,n_tokens,>=2(vocab),>=2(-n_tokens),>=2(-n_tokens%),>=3(vocab),>=3(-n_tokens),>=3(-n_tokens%),>=4(vocab),>=4(-n_tokens),>=4(-n_tokens%),>=5(vocab),>=5(-n_tokens),>=5(-n_tokens%),>=10(vocab),>=10(-n_tokens),>=10(-n_tokens%),>=15(vocab),>=15(-n_tokens),>=15(-n_tokens%),>=20(vocab),>=20(-n_tokens),>=20(-n_tokens%),>=25(vocab),>=25(-n_tokens),>=25(-n_tokens%),>=30(vocab),>=30(-n_tokens),>=30(-n_tokens%),>=35(vocab),>=35(-n_tokens),>=35(-n_tokens%),>=40(vocab),>=40(-n_tokens),>=40(-n_tokens%),>=45(vocab),>=45(-n_tokens),>=45(-n_tokens%),>=50(vocab),>=50(-n_tokens),>=50(-n_tokens%),>=55(vocab),>=55(-n_tokens),>=55(-n_tokens%),>=60(vocab),>=60(-n_tokens),>=60(-n_tokens%),>=65(vocab),>=65(-n_tokens),>=65(-n_tokens%),>=70(vocab),>=70(-n_tokens),>=70(-n_tokens%),>=75(vocab),>=75(-n_tokens),>=75(-n_tokens%),>=80(vocab),>=80(-n_tokens),>=80(-n_tokens%),>=85(vocab),>=85(-n_tokens),>=85(-n_tokens%),>=90(vocab),>=90(-n_tokens),>=90(-n_tokens%),>=95(vocab),>=95(-n_tokens),>=95(-n_tokens%),>=100(vocab),>=100(-n_tokens),>=100(-n_tokens%),>=150(vocab),>=150(-n_tokens),>=150(-n_tokens%),>=200(vocab),>=200(-n_tokens),>=200(-n_tokens%),>=300(vocab),>=300(-n_tokens),>=300(-n_tokens%),>=400(vocab),>=400(-n_tokens),>=400(-n_tokens%),>=500(vocab),>=500(-n_tokens),>=500(-n_tokens%),>=1000(vocab),>=1000(-n_tokens),>=1000(-n_tokens%)
106101,en_only,strings+comments,camel+underscore+bpe_10k,NO_tabs+NO_newlines,NO_log_marks,lowercased,10096,3091271192,10093,3,0.000,10090,9,0.000,10086,21,0.000,10084,29,0.000,10076,86,0.000,10065,216,0.000,10057,347,0.000,10049,521,0.000,10039,794,0.000,10031,1049,0.000,10027,1198,0.000,10022,1407,0.000,10016,1692,0.000,10009,2057,0.000,10005,2283,0.000,10001,2533,0.000,9998,2731,0.000,9993,3097,0.000,9985,3705,0.000,9983,3870,0.000,9982,3958,0.000,9977,4418,0.000,9972,4905,0.000,9943,8403,0.000,9913,13476,0.000,9875,22865,0.001,9828,39052,0.001,9803,50410,0.002,9666,150143,0.005
124101,en_only,NO_strings+NO_comments,camel+underscore+bpe_5k,NO_tabs+NO_newlines,NO_log_marks,lowercased,5099,2206873339,5098,1,0.000,5095,7,0.000,5091,19,0.000,5090,23,0.000,5083,67,0.000,5076,152,0.000,5074,186,0.000,5067,343,0.000,5064,428,0.000,5063,459,0.000,5060,568,0.000,5057,698,0.000,5055,789,0.000,5052,949,0.000,5051,1004,0.000,5051,1004,0.000,5050,1071,0.000,5046,1362,0.000,5044,1519,0.000,5044,1519,0.000,5043,1604,0.000,5040,1883,0.000,5037,2174,0.000,5020,4317,0.000,5004,7071,0.000,4979,13232,0.001,4961,19363,0.001,4943,27625,0.001,4862,85375,0.004
125101,en_only,NO_strings+NO_comments,camel+underscore+bpe_1k,NO_tabs+NO_newlines,NO_log_marks,lowercased,1103,2597262709,1103,0,0.000,1103,0,0.000,1103,0,0.000,1103,0,0.000,1103,0,0.000,1102,14,0.000,1102,14,0.000,1102,14,0.000,1101,43,0.000,1101,43,0.000,1101,43,0.000,1101,43,0.000,1101,43,0.000,1101,43,0.000,1101,43,0.000,1101,43,0.000,1101,43,0.000,1101,43,0.000,1101,43,0.000,1101,43,0.000,1101,43,0.000,1101,43,0.000,1101,43,0.000,1100,165,0.000,1100,165,0.000,1100,165,0.000,1097,1124,0.000,1097,1124,0.000,1093,4062,0.000
301101,asci_only,strings+comments,camel+underscore,NO_tabs+NO_newlines,NO_log_marks,lowercased,1566981,2972812831,897880,669101,0.023,601116,1262629,0.042,496403,1576768,0.053,416783,1895248,0.064,258869,2925105,0.098,200533,3607882,0.121,167095,4169403,0.140,144807,4656765,0.157,129098,5078806,0.171,117530,5447111,0.183,108814,5768527,0.194,101848,6060584,0.204,96077,6331570,0.213,90937,6598556,0.222,86424,6855560,0.231,82314,7110075,0.239,78762,7347905,0.247,75334,7594594,0.255,72355,7823802,0.263,69673,8043504,0.271,67201,8258364,0.278,65052,8456022,0.284,63042,8650898,0.291,49673,10279031,0.346,42269,11558102,0.389,33793,13632404,0.459,28979,15298487,0.515,25848,16695731,0.562,17800,22424951,0.754
304111,asci_only,strings+comments,camel+underscore+bpe_5k,NO_tabs+NO_newlines,log_marks,lowercased,5112,3228491077,5112,0,0.000,5111,2,0.000,5110,5,0.000,5110,5,0.000,5110,5,0.000,5109,19,0.000,5108,36,0.000,5108,36,0.000,5105,117,0.000,5104,148,0.000,5104,148,0.000,5104,148,0.000,5103,197,0.000,5102,251,0.000,5101,307,0.000,5100,370,0.000,5100,370,0.000,5099,441,0.000,5098,517,0.000,5098,517,0.000,5097,605,0.000,5097,605,0.000,5095,798,0.000,5090,1347,0.000,5083,2523,0.000,5078,3690,0.000,5071,6126,0.000,5068,7527,0.000,5023,40327,0.001
305101,asci_only,strings+comments,camel+underscore+bpe_1k,NO_tabs+NO_newlines,NO_log_marks,lowercased,1103,3936436369,1103,0,0.000,1102,2,0.000,1102,2,0.000,1102,2,0.000,1102,2,0.000,1102,2,0.000,1102,2,0.000,1102,2,0.000,1102,2,0.000,1102,2,0.000,1102,2,0.000,1102,2,0.000,1102,2,0.000,1102,2,0.000,1102,2,0.000,1102,2,0.000,1102,2,0.000,1102,2,0.000,1102,2,0.000,1102,2,0.000,1102,2,0.000,1102,2,0.000,1102,2,0.000,1102,2,0.000,1102,2,0.000,1101,213,0.000,1100,553,0.000,1100,553,0.000,1099,1152,0.000
306101,asci_only,strings+comments,camel+underscore+bpe_10k,NO_tabs+NO_newlines,NO_log_marks,lowercased,10101,3094772012,10098,3,0.000,10095,9,0.000,10092,18,0.000,10091,22,0.000,10084,74,0.000,10078,143,0.000,10069,291,0.000,10063,419,0.000,10053,687,0.000,10048,846,0.000,10043,1030,0.000,10039,1198,0.000,10034,1434,0.000,10031,1593,0.000,10028,1760,0.000,10023,2074,0.000,10020,2272,0.000,10015,2636,0.000,10008,3170,0.000,10008,3170,0.000,10007,3258,0.000,10004,3538,0.000,9998,4118,0.000,9978,6574,0.000,9954,10607,0.000,9915,20148,0.001,9876,33616,0.001,9854,43531,0.001,9717,142941,0.005
308101,asci_only,strings+comments,camel+underscore+bpe_0,NO_tabs+NO_newlines,NO_log_marks,lowercased,105,8902394000,105,0,0.000,104,2,0.000,104,2,0.000,104,2,0.000,104,2,0.000,104,2,0.000,104,2,0.000,104,2,0.000,104,2,0.000,104,2,0.000,104,2,0.000,104,2,0.000,104,2,0.000,104,2,0.000,104,2,0.000,104,2,0.000,104,2,0.000,104,2,0.000,104,2,0.000,104,2,0.000,104,2,0.000,104,2,0.000,104,2,0.000,104,2,0.000,104,2,0.000,104,2,0.000,103,342,0.000,103,342,0.000,103,342,0.000
312101,asci_only,strings+NO_comments,camel+underscore+numbers,NO_tabs+NO_newlines,NO_log_marks,lowercased,714667,2875600408,524992,189675,0.007,397962,443735,0.015,335286,631763,0.022,290546,810723,0.028,191030,1465669,0.051,149264,1955357,0.068,125291,2357650,0.082,109761,2696964,0.094,98876,2989255,0.104,90649,3251574,0.113,84315,3485627,0.121,79092,3704685,0.129,74714,3910130,0.136,70922,4106816,0.143,67657,4292904,0.149,64714,4475093,0.156,62233,4641205,0.161,59916,4807933,0.167,57892,4963746,0.173,56097,5110871,0.178,54484,5251089,0.183,52997,5387786,0.187,51589,5524309,0.192,41815,6718682,0.234,36052,7714991,0.268,29368,9348928,0.325,25291,10760296,0.374,22567,11976772,0.416,15878,16716923,0.581
314101,asci_only,strings+NO_comments,camel+underscore+bpe_5k,NO_tabs+NO_newlines,NO_log_marks,lowercased,5102,3013357625,5102,0,0.000,5101,2,0.000,5101,2,0.000,5101,2,0.000,5101,2,0.000,5099,28,0.000,5098,43,0.000,5095,110,0.000,5093,164,0.000,5092,194,0.000,5090,270,0.000,5089,314,0.000,5089,314,0.000,5088,364,0.000,5088,364,0.000,5088,364,0.000,5088,364,0.000,5086,504,0.000,5084,658,0.000,5083,738,0.000,5083,738,0.000,5081,920,0.000,5081,920,0.000,5075,1708,0.000,5068,2901,0.000,5066,3425,0.000,5056,6748,0.000,5049,9876,0.000,5005,41591,0.001
321100,asci_only,NO_strings+NO_comments,camel+underscore,NO_tabs+NO_newlines,NO_log_marks,case_preserved,1105469,1746224881,718509,386960,0.022,505398,813182,0.047,427190,1047806,0.060,363510,1302526,0.075,232424,2156400,0.123,182215,2744486,0.157,153400,3227464,0.185,134777,3634387,0.208,121741,3984490,0.228,111758,4302712,0.246,103923,4591677,0.263,97616,4856018,0.278,92280,5106692,0.292,87648,5347382,0.306,83702,5572288,0.319,80359,5779369,0.331,77410,5976891,0.342,74654,6175293,0.354,72258,6359752,0.364,70043,6541298,0.375,68032,6716079,0.385,66135,6890591,0.395,64356,7063048,0.404,52380,8522549,0.488,45315,9745151,0.558,36803,11826444,0.677,31818,13550492,0.776,28327,15109857,0.865,19549,21292700,1.219
321101,asci_only,NO_strings+NO_comments,camel+underscore,NO_tabs+NO_newlines,NO_log_marks,lowercased,974376,2087403458,597929,376447,0.018,402787,766731,0.037,336461,965709,0.046,282387,1182005,0.057,174130,1886166,0.090,134343,2351795,0.113,111398,2736251,0.131,96774,3055794,0.146,86679,3326888,0.159,79149,3566929,0.171,73240,3785010,0.181,68381,3988564,0.191,64323,4179192,0.200,60879,4358022,0.209,57890,4528331,0.217,55480,4677638,0.224,53315,4822699,0.231,51390,4961306,0.238,49619,5097582,0.244,47963,5233254,0.251,46521,5358567,0.257,45183,5481616,0.263,43917,5604377,0.268,35411,6639686,0.318,30655,7461475,0.357,24709,8917215,0.427,21246,10114085,0.485,18982,11124884,0.533,13163,15210996,0.729

