0,1,2,3,4,5,6,7,8,9
1.0,0.6175,0.65116,0.66246,0.64324,0.63178,0.64234,0.62714,0.67134,0.64368
0.60892,1.0,0.61774,0.61424,0.61546,0.62896,0.60378,0.63716,0.61042,0.60934
0.65094,0.62476,1.0,0.66248,0.65318,0.6398,0.65626,0.63368,0.65594,0.64354
0.6658,0.623,0.66456,1.0,0.65428,0.64626,0.6573,0.63688,0.65882,0.64942
0.6444,0.62612,0.65944,0.65794,1.0,0.6294,0.65188,0.63276,0.65098,0.63674
0.63724,0.64374,0.64438,0.65396,0.63328,1.0,0.6307,0.65204,0.64526,0.64186
0.64378,0.61398,0.65518,0.65722,0.65172,0.629,1.0,0.63108,0.6495,0.63622
0.62568,0.64366,0.63164,0.63646,0.63046,0.6492,0.62582,1.0,0.63072,0.63548
0.66336,0.61138,0.64968,0.65136,0.63938,0.63118,0.64148,0.62434,1.0,0.6427
0.64392,0.61318,0.64062,0.646,0.63082,0.6335,0.62748,0.62908,0.64546,1.0
