0,1,2,3,4
1.0,0.7444,0.7178,0.7244,0.7422
0.7444,1.0,0.7359,0.7412,0.7388
0.7178,0.7359,1.0,0.7487,0.7253
0.7244,0.7412,0.7487,1.0,0.7407
0.7422,0.7388,0.7253,0.7407,1.0
