0,1,2,3,4,5,6,7,8,9
1.0,0.5885,0.6328,0.64435,0.6194,0.6104,0.62895,0.59635,0.652,0.6241
0.5885,1.0,0.60745,0.5913,0.59575,0.61525,0.58915,0.6221,0.58865,0.59465
0.6328,0.60745,1.0,0.6429,0.6342,0.6231,0.6432,0.60965,0.63565,0.62165
0.64435,0.5913,0.6429,1.0,0.62475,0.6234,0.64165,0.60415,0.63375,0.6298
0.6194,0.59575,0.6342,0.62475,1.0,0.5994,0.6276,0.59975,0.6199,0.6121
0.6104,0.61525,0.6231,0.6234,0.5994,1.0,0.61125,0.62985,0.61945,0.61845
0.62895,0.58915,0.6432,0.64165,0.6276,0.61125,1.0,0.6011,0.6287,0.6204
0.59635,0.6221,0.60965,0.60415,0.59975,0.62985,0.6011,1.0,0.5988,0.61345
0.652,0.58865,0.63565,0.63375,0.6199,0.61945,0.6287,0.5988,1.0,0.63215
0.6241,0.59465,0.62165,0.6298,0.6121,0.61845,0.6204,0.61345,0.63215,1.0
