0,1,2,3,4,5,6,7,8,9
1.0,0.7261,0.7794,0.7977,0.7653,0.7542,0.7891,0.7367,0.8049,0.7714
0.7226,1.0,0.7416,0.7283,0.7335,0.762,0.724,0.7684,0.732,0.7325
0.7924,0.7542,1.0,0.7985,0.7885,0.7793,0.807,0.7682,0.801,0.7793
0.7967,0.7289,0.7863,1.0,0.7672,0.7661,0.7929,0.737,0.7893,0.7761
0.777,0.7437,0.7872,0.7818,1.0,0.7447,0.7861,0.7477,0.7805,0.7601
0.7552,0.7693,0.7719,0.7748,0.7388,1.0,0.7566,0.7842,0.7681,0.7592
0.794,0.7319,0.8008,0.8011,0.7847,0.7571,1.0,0.7479,0.7913,0.7707
0.7445,0.7788,0.7589,0.747,0.7423,0.783,0.7462,1.0,0.7472,0.7638
0.8069,0.7343,0.7871,0.7869,0.7692,0.7664,0.7858,0.7483,1.0,0.7798
0.7778,0.7384,0.7708,0.7817,0.7568,0.7639,0.7769,0.76,0.7813,1.0
