0,1,2,3,4,5,6,7,8,9
1.0,0.712,0.786,0.82,0.76,0.76,0.786,0.751,0.818,0.772
0.712,1.0,0.737,0.734,0.744,0.765,0.72,0.781,0.729,0.708
0.786,0.737,1.0,0.821,0.803,0.783,0.814,0.778,0.804,0.765
0.82,0.734,0.821,1.0,0.777,0.778,0.83,0.749,0.805,0.779
0.76,0.744,0.803,0.777,1.0,0.744,0.784,0.758,0.77,0.729
0.76,0.765,0.783,0.778,0.744,1.0,0.762,0.809,0.783,0.745
0.786,0.72,0.814,0.83,0.784,0.762,1.0,0.769,0.799,0.755
0.751,0.781,0.778,0.749,0.758,0.809,0.769,1.0,0.769,0.761
0.818,0.729,0.804,0.805,0.77,0.783,0.799,0.769,1.0,0.748
0.772,0.708,0.765,0.779,0.729,0.745,0.755,0.761,0.748,1.0
