0,1,2,3,4,5,6,7,8,9,10,100%
1.0,0.863,0.831,0.815,0.817,0.82,0.86,0.816,0.844,0.914,0.822
0.867,1.0,0.839,0.85,0.855,0.852,0.921,0.854,0.908,0.868,0.86
0.842,0.86,1.0,0.927,0.922,0.912,0.879,0.923,0.867,0.865,0.94
0.838,0.878,0.936,1.0,0.934,0.933,0.88,0.935,0.884,0.862,0.961
0.821,0.869,0.921,0.931,1.0,0.927,0.888,0.909,0.876,0.847,0.949
0.839,0.872,0.914,0.93,0.921,1.0,0.864,0.91,0.895,0.854,0.941
0.878,0.937,0.866,0.862,0.884,0.851,1.0,0.86,0.919,0.901,0.882
0.838,0.875,0.932,0.942,0.919,0.917,0.884,1.0,0.87,0.863,0.945
0.851,0.917,0.856,0.867,0.873,0.883,0.915,0.854,1.0,0.874,0.882
0.902,0.856,0.841,0.835,0.84,0.823,0.884,0.832,0.862,1.0,0.858
0.845,0.886,0.95,0.959,0.953,0.949,0.898,0.945,0.898,0.878,1.0
